StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q,Q_4_TEXT,Q6_1,Q7_1,Q8,Q10,Q12,Q13_1,Q15,Q16,Q17,Q18,Q20_1,Q21,Q22,Q23,Q24
2022-01-26 15:25:18,2022-01-26 15:26:33,IP Address,24.60.247.231,100,74,True,2022-01-26 15:26:33,R_3NJ3FObk6lCGBRY,,,,,42.4279937744140625,-71.061798095703125,anonymous,EN,Female,33,Student,,7,7,No,no,,4,,,,3000,2035,No,Maybe,No,Yes
2022-01-26 19:04:37,2022-01-26 19:06:58,IP Address,98.110.165.50,100,141,True,2022-01-26 19:06:59,R_2v9edLN1HGZNuBG,,,,,42.2904052734375,-71.071197509765625,anonymous,EN,Female,27,Student,,20,8,No,No,Playing computer,13,170cm,60kg,drawing,100,641,No,Yes,No,No
2022-01-27 11:21:46,2022-01-27 11:23:45,IP Address,100.0.241.153,100,118,True,2022-01-27 11:23:46,R_1Dou5DAYJp34zcY,,,,,42.4178009033203125,-71.1134033203125,anonymous,EN,Male,24,Student,,39,8,No,yes,sports,8,170cm,62kg,badminton,7000,1303,Maybe,No,No,No
2022-01-27 15:34:21,2022-01-27 15:35:23,IP Address,155.201.38.52,100,62,True,2022-01-27 15:35:23,R_3lKeYdbS6dRxDwX,,,,,38.873199462890625,-77.1150970458984375,anonymous,EN,Male,23,Engineer,,45,8,No,no,OTT,2,5'7,160,TV,100,1479,Maybe,No,Yes,Yes
2022-01-28 04:42:50,2022-01-28 04:48:40,IP Address,98.216.240.139,100,350,True,2022-01-28 04:48:40,R_2ru0Wr16mCkglNd,,,,,42.4279937744140625,-71.061798095703125,anonymous,EN,Female,27,Student,,10,10,No,No,Lie up,8,165cm,53kg,See movies,300,1500,No,Yes,No,Yes
2022-01-28 13:28:03,2022-01-28 13:29:32,IP Address,71.233.46.67,100,89,True,2022-01-28 13:29:32,R_OEbIkv1Tq7MaXYJ,,,,,42.4279937744140625,-71.061798095703125,anonymous,EN,Male,24,Student,,8,6,No,no,game,5,176,60,sports,100,2500,Maybe,Maybe,No,Yes
2022-01-28 16:16:35,2022-01-28 16:18:27,IP Address,73.100.57.1,100,111,True,2022-01-28 16:18:27,R_Y4Xg0io5fiKHM0F,,,,,42.2902984619140625,-71.079803466796875,anonymous,EN,Male,23,Engineer,,25,6,Yes,Yess,Chill,3,5.9,67,Gym,10000,5000,No,Maybe,Yes,Yes
2022-01-28 18:40:02,2022-01-28 18:41:55,IP Address,65.96.126.185,100,113,True,2022-01-28 18:41:56,R_21yxG8FcoZnpUa8,,,,,42.2904052734375,-71.071197509765625,anonymous,EN,Male,25,other,,40,10,Yes,NO,Research about new things,4,187 cms,100 kg,Collection of Currency,500,1190,Yes,No,Yes,Yes
2022-01-29 14:22:06,2022-01-29 14:25:05,IP Address,73.100.57.1,100,178,True,2022-01-29 14:25:05,R_3isfnrhSI072u80,,,,,42.2902984619140625,-71.079803466796875,anonymous,EN,Male,22,Engineer,,0,7,Yes,no,"play football, listen to music",3,170,80,"football, singing, dancing",8000,4021,No,Maybe,Yes,Yes
2022-02-02 20:17:54,2022-02-02 20:19:40,IP Address,73.167.154.11,100,105,True,2022-02-02 20:19:40,R_To5pCeCOMw3psYh,,,,,42.3119964599609375,-71.10810089111328125,anonymous,EN,Male,21,Student,,16,7,Yes,NO,listen to music,7,5.5,190 lbs,"cricket, listen to music, watch movies",15000,4000,No,No,Yes,Yes
2022-02-02 23:08:50,2022-02-02 23:13:24,IP Address,71.117.190.204,100,273,True,2022-02-02 23:13:24,R_2eWqq9650YXq5Df,,,,,41.8307037353515625,-71.39820098876953125,anonymous,EN,Male,25,Student,,20,6,No,no,Work out,13,5,7,2,7000,1535,No,No,Yes,Yes
2022-02-03 11:30:09,2022-02-03 11:31:45,IP Address,146.115.89.31,100,96,True,2022-02-03 11:31:46,R_rllyKbuKEnek4Fj,,,,,42.346405029296875,-71.097503662109375,anonymous,EN,Female,24,Student,,33,7,Yes,no,watch vedios,3,160cm,51kg,watch videos,3000,993,Yes,Maybe,No,No
2022-02-04 17:51:10,2022-02-04 17:52:17,IP Address,209.6.64.82,100,66,True,2022-02-04 17:52:17,R_264OLjfwF5swX7k,,,,,42.3473968505859375,-71.158203125,anonymous,EN,Female,27,Student,,19,6,Yes,no,go out,10,1.56,120 lbs,"reading ",don't know,1915,No,Maybe,Yes,No
2022-02-08 11:05:31,2022-02-08 11:07:38,IP Address,24.91.9.182,100,126,True,2022-02-08 11:07:38,R_2Bm730EtUIDRnpO,,,,,42.33990478515625,-71.1244964599609375,anonymous,EN,Male,24,Student,,12,10,Yes,No,Watch TV,8,175 cm,50 KG,Cooking,1000,3049,Maybe,No,No,No
2022-02-09 06:12:48,2022-02-09 06:14:17,IP Address,76.119.142.187,100,89,True,2022-02-09 06:14:17,R_9SQRJIpqIv2U3wB,,,,,42.336395263671875,-71.03260040283203125,anonymous,EN,Female,27,Student,,10,8,No,no,watch Netflix,8,,,,,1506,No,No,No,Yes
2022-02-09 17:17:56,2022-02-09 17:23:11,IP Address,155.33.132.6,100,314,True,2022-02-09 17:23:11,R_1JEJTnAbxEuxhFm,,,,,42.3426971435546875,-71.09220123291015625,anonymous,EN,Male,21,Student,,41,8,Yes,NO,MOVIE,5,5`11``,76 KG,CRICKET,20000,2930,No,No,No,No
